# java.version=25.0.2.0.101 tzdata=2026a
America/Indiana/Winamac	America/Indiana/Winamac	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Indianapolis	America/Indianapolis	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Inuvik	America/Inuvik	true	Mountain Standard Time	Mountain Daylight Time	MST	MDT
America/Iqaluit	America/Iqaluit	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Jamaica	America/Jamaica	false	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Jujuy	America/Jujuy	false	Argentina Standard Time	Argentina Summer Time	GMT-03:00	GMT-02:00
America/Juneau	America/Juneau	true	Alaska Standard Time	Alaska Daylight Time	AKST	AKDT
America/Kentucky/Louisville	America/Kentucky/Louisville	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Kentucky/Monticello	America/Kentucky/Monticello	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Knox_IN	America/Knox_IN	true	Central Standard Time	Central Daylight Time	CST	CDT
America/Kralendijk	America/Kralendijk	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/La_Paz	America/La_Paz	false	Bolivia Time	La Paz Daylight Time	GMT-04:00	GMT-03:00
America/Lima	America/Lima	false	Peru Standard Time	Peru Summer Time	GMT-05:00	GMT-04:00
America/Los_Angeles	America/Los_Angeles	true	Pacific Standard Time	Pacific Daylight Time	PST	PDT
America/Louisville	America/Louisville	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Lower_Princes	America/Lower_Princes	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Maceio	America/Maceio	false	Brasilia Standard Time	Brasilia Summer Time	GMT-03:00	GMT-02:00
America/Managua	America/Managua	false	Central Standard Time	Central Daylight Time	CST	CDT
America/Manaus	America/Manaus	false	Amazon Standard Time	Amazon Summer Time	GMT-04:00	GMT-03:00
America/Marigot	America/Marigot	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Martinique	America/Martinique	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Matamoros	America/Matamoros	true	Central Standard Time	Central Daylight Time	CST	CDT
America/Mazatlan	America/Mazatlan	false	Mexican Pacific Standard Time	Mexican Pacific Daylight Time	MST	MDT
America/Mendoza	America/Mendoza	false	Argentina Standard Time	Argentina Summer Time	GMT-03:00	GMT-02:00
America/Menominee	America/Menominee	true	Central Standard Time	Central Daylight Time	CST	CDT
America/Merida	America/Merida	false	Central Standard Time	Central Daylight Time	CST	CDT
America/Metlakatla	America/Metlakatla	true	Alaska Standard Time	Alaska Daylight Time	AKST	AKDT
America/Mexico_City	America/Mexico_City	false	Central Standard Time	Central Daylight Time	CST	CDT
America/Miquelon	America/Miquelon	true	St. Pierre & Miquelon Standard Time	St. Pierre & Miquelon Daylight Time	GMT-03:00	GMT-02:00
America/Moncton	America/Moncton	true	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Monterrey	America/Monterrey	false	Central Standard Time	Central Daylight Time	CST	CDT
America/Montevideo	America/Montevideo	false	Uruguay Standard Time	Uruguay Summer Time	GMT-03:00	GMT-02:00
America/Montreal	America/Montreal	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Montserrat	America/Montserrat	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Nassau	America/Nassau	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/New_York	America/New_York	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Nipigon	America/Nipigon	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Nome	America/Nome	true	Alaska Standard Time	Alaska Daylight Time	AKST	AKDT
America/Noronha	America/Noronha	false	Fernando de Noronha Standard Time	Fernando de Noronha Summer Time	GMT-02:00	GMT-01:00
America/North_Dakota/Beulah	America/North_Dakota/Beulah	true	Central Standard Time	Central Daylight Time	CST	CDT
America/North_Dakota/Center	America/North_Dakota/Center	true	Central Standard Time	Central Daylight Time	CST	CDT
America/North_Dakota/New_Salem	America/North_Dakota/New_Salem	true	Central Standard Time	Central Daylight Time	CST	CDT
America/Nuuk	America/Nuuk	true	Greenland Standard Time	Greenland Summer Time	GMT-02:00	GMT-01:00
America/Ojinaga	America/Ojinaga	true	Central Standard Time	Central Daylight Time	CST	CDT
America/Panama	America/Panama	false	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Pangnirtung	America/Pangnirtung	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Paramaribo	America/Paramaribo	false	Suriname Time	Paramaribo Daylight Time	GMT-03:00	GMT-03:00
America/Phoenix	America/Phoenix	false	Mountain Standard Time	Mountain Daylight Time	MST	MDT
America/Port-au-Prince	America/Port-au-Prince	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
America/Port_of_Spain	America/Port_of_Spain	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Porto_Acre	America/Porto_Acre	false	Acre Standard Time	Acre Summer Time	GMT-05:00	GMT-04:00
America/Porto_Velho	America/Porto_Velho	false	Amazon Standard Time	Amazon Summer Time	GMT-04:00	GMT-03:00
America/Puerto_Rico	America/Puerto_Rico	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Punta_Arenas	America/Punta_Arenas	false	Punta Arenas Standard Time	Punta Arenas Daylight Time	GMT-03:00	GMT-02:00
America/Rainy_River	America/Rainy_River	true	Central Standard Time	Central Daylight Time	CST	CDT
America/Rankin_Inlet	America/Rankin_Inlet	true	Central Standard Time	Central Daylight Time	CST	CDT
America/Recife	America/Recife	false	Brasilia Standard Time	Brasilia Summer Time	GMT-03:00	GMT-02:00
